序号,题目,选项A,选项B,选项C,正确答案,解析
11,长征精神的核心内容不包括以下哪项？,坚定革命的理想和信念,不怕牺牲、勇往直前的英雄气概,依靠外援、争取国际支持,C,"长征精神的主要内涵是：把全国人民和中华民族的根本利益看得高于一切；坚定革命的理想和信念，坚信正义事业必然胜利；为了救国救民，不怕任何艰难险阻，不惜付出一切牺牲；独立自主、实事求是、一切从实际出发。""依靠外援""与长征精神相悖。"
12,中国改革开放的总设计师是谁？,毛泽东,邓小平,江泽民,B,邓小平是中国改革开放的总设计师，他领导中国走上了中国特色社会主义道路，确立了以经济建设为中心的基本路线，推动了改革开放伟大进程，创立了邓小平理论。
13,中国特色社会主义进入新时代的历史时间节点是哪一年？,2012年,2017年,2013年,A,党的十九大报告指出，党的十八大以来（2012年），中国特色社会主义进入了新时代，这是我国发展新的历史方位。2012年11月党的十八大召开是这一历史转变的起点。
14,中华民族近代以来遭受的最深重苦难始于哪一历史事件？,太平天国运动失败,1840年鸦片战争,甲午战争失败,B,1840年鸦片战争以后，中国逐步成为半殖民地半封建社会，中华民族遭受了前所未有的劫难。鸦片战争是中国近代史的开端，也是中华民族苦难历程的起点。
15,五四运动爆发于哪一年，其历史意义是什么？,1917年，是新文化运动的高潮,1919年，是中国新民主主义革命的开端,1921年，标志着中国工人阶级登上历史舞台,B,1919年5月4日爆发的五四运动，是一场以青年学生为主体、广大人民群众参与的彻底反帝反封建的伟大爱国革命运动，是中国旧民主主义革命走向新民主主义革命的转折点，是中国新民主主义革命的开端。
16,社会主义发展史中，世界上第一个社会主义国家是哪个？,中华人民共和国,苏维埃俄国（苏联）,德意志民主共和国,B,1917年俄国十月革命胜利，建立了世界上第一个社会主义国家——苏维埃俄国（后发展为苏联），开辟了人类历史的新纪元，极大鼓舞和推动了世界各国无产阶级革命运动的发展。
17,中国共产党成立时，提出的奋斗目标是什么？,实现民族独立和人民解放,推翻资产阶级政权，建立无产阶级专政，实现共产主义,建立统一战线，反抗帝国主义侵略,B,中国共产党一大通过的党的纲领明确规定，党的奋斗目标是推翻资产阶级政权，建立无产阶级专政，实现社会主义和共产主义。这是党从成立之初就确立的远大理想。
18,"中华人民共和国成立后，""三大改造""完成的时间及意义是什么？",1953年完成，标志社会主义制度初步建立,1956年完成，标志我国社会主义制度基本确立,1958年完成，标志人民公社制度全面建立,B,1956年底，我国基本完成了对农业、手工业和资本主义工商业的社会主义改造（三大改造），实现了把生产资料私有制转变为社会主义公有制的历史任务，标志着我国社会主义制度基本确立，进入社会主义初级阶段。
19,中华民族精神的核心是什么？,自强不息,爱国主义,艰苦奋斗,B,爱国主义是中华民族精神的核心，是中华民族团结统一、自强不息的精神纽带，历经五千年的历史锤炼，始终是激励中国人民不懈奋斗的强大精神动力。
20,中国共产党第七次全国代表大会（七大）最重要的历史贡献是什么？,确立毛泽东思想为党的指导思想并写入党章,提出新民主主义革命理论,制定了党的最低纲领和最高纲领,A,1945年召开的党的七大，将毛泽东思想确立为党的指导思想并写入党章，使全党有了统一的科学指导思想，这是七大最重要的历史贡献，标志着党的成熟。
21,"""两弹一星""精神中""两弹""是指什么？",原子弹和氢弹,核弹和导弹,原子弹和导弹,B,"""两弹一星""精神中，""两弹""是指核弹（原子弹、氢弹）和导弹，""一星""是指人造地球卫星。1999年国家表彰了为""两弹一星""事业作出突出贡献的科学家，并将""两弹一星""精神概括为：热爱祖国、无私奉献，自力更生、艰苦奋斗，大力协同、勇于登攀。"
22,香港回归祖国的时间是哪一年？,1997年7月1日,1999年12月20日,1998年1月1日,A,"1997年7月1日，中国正式对香港恢复行使主权，香港回归祖国，结束了英国对香港长达155年的殖民统治，""一国两制""构想在香港成功实践。澳门则于1999年12月20日回归。"
23,中华人民共和国第一颗原子弹爆炸成功是在哪一年？,1960年,1964年,1967年,B,1964年10月16日，我国第一颗原子弹爆炸成功，打破了超级大国的核垄断，提高了中国的国际地位，极大增强了中华民族的自信心和凝聚力，这是新中国建设史上的重大里程碑。
24,改革开放后，中国第一个经济特区设在哪里？,上海浦东,深圳,海南,B,"1980年，深圳、珠海、汕头、厦门被批准设立经济特区，深圳是最早、规模最大的经济特区，是改革开放的窗口和试验田，从一个小渔村迅速发展为现代化大都市，创造了举世瞩目的""深圳速度""。"
25,"中华民族发展史中，""中华民族多元一体格局""理论由谁提出？",毛泽东,费孝通,邓小平,B,"著名社会学家、人类学家费孝通先生于1988年提出""中华民族多元一体格局""理论，揭示了中华民族的形成规律：中华民族是由56个民族构成的统一体，各民族在历史发展中形成多元一体的格局。"
26,新中国成立后，中国人民志愿军参加抗美援朝战争开始于哪一年？,1949年,1950年,1951年,B,1950年10月，中国人民志愿军跨过鸭绿江，赴朝参战，历经三年艰苦卓绝的战争，于1953年7月签署停战协定，以钢铁意志和英勇无畏的战斗精神打出了国威军威，孕育了伟大的抗美援朝精神。
27,社会主义建设史中，大庆精神、红旗渠精神等集中体现了什么精神内核？,革命英雄主义精神,自力更生、艰苦奋斗精神,国际主义精神,B,大庆精神（爱国、创业、求实、奉献）、红旗渠精神（自力更生、艰苦创业、团结协作、无私奉献）等社会主义建设时期形成的精神，共同体现了自力更生、艰苦奋斗的精神内核，是中华民族精神宝库的重要组成部分。
28,"""一带一路""倡议由习近平总书记首次提出是在哪一年？",2012年,2013年,2015年,B,"2013年9月和10月，习近平总书记分别提出建设""新丝绸之路经济带""和""21世纪海上丝绸之路""的倡议，合称""一带一路""倡议，传承古丝绸之路精神，开创对外开放合作新格局。"
29,"中华人民共和国第一颗人造地球卫星""东方红一号""发射成功是在哪一年？",1968年,1970年,1972年,B,"1970年4月24日，我国第一颗人造地球卫星""东方红一号""发射成功，中国成为世界上第五个独立研制和发射人造地球卫星的国家，标志着我国进入航天时代。4月24日也因此被设立为""中国航天日""。"
30,习近平总书记强调，要正确把握中华民族历史，必须树立什么样的历史观？,唯物史观和正确党史观,大历史观,整体历史观,A,习近平总书记强调，学习党史、新中国史、改革开放史、社会主义发展史，要坚持用唯物史观来认识和记录历史，树立正确的历史观，反对历史虚无主义，做到学史明理、学史增信、学史崇德、学史力行。
