序号,题目,选项A,选项B,选项C,正确答案,解析
13,（ ）是当代中国最鲜明的特色。,改革开放,和平发展,自力更生,A,改革开放是当代中国最鲜明的特色，也是决定当代中国命运的关键一招。
14,（ ）是最高政治领导力量。,人民代表大会,中国共产党,国务院,B,党政军民学，东西南北中，党是领导一切的。中国共产党是最高政治领导力量。
15,习近平总书记提出的“绿水青山就是金山银山”体现了（ ）发展理念。,开放,绿色,创新,B,“绿水青山就是金山银山”是生态文明建设的核心理念，体现了绿色发展。
16,（ ）是民族振兴、社会进步的重要基石，是国之大计、党之大计。,教育,就业,医疗,A,教育是民族振兴、社会进步的重要基石，对提高人民综合素质、促进人的全面发展具有决定性意义。
17,坚持人民至上，必须把（ ）作为奋斗目标。,实现现代化,人民对美好生活的向往,增加国民生产总值,B,习近平总书记多次强调，人民对美好生活的向往就是我们的奋斗目标。
18,（ ）是解决我国一切问题的基础和关键。,改革,稳定,发展,C,发展是解决我国一切问题的基础和关键，必须坚定不移贯彻新发展理念。
19,全面依法治国的总目标是（ ）。,建设社会主义法治国家,建设社会主义法治体系、建设社会主义法治国家,实现公平正义,B,全面依法治国的总目标是建设中国特色社会主义法治体系、建设社会主义法治国家。
20,（ ）是社会主义现代化建设的动力源泉。,改革创新,对外开放,共同富裕,A,改革创新是新时代最为鲜明的特征，也是现代化建设的动力源泉。
21,中国特色社会主义理论体系不包括（ ）。,毛泽东思想,邓小平理论,“三个代表”重要思想,A,中国特色社会主义理论体系包括邓小平理论、“三个代表”重要思想、科学发展观、习近平新时代中国特色社会主义思想。毛泽东思想不属于该体系，但与其一脉相承。
22,（ ）是人民当家作主的根本政治制度保证。,中国共产党领导的多党合作和政治协商制度,民族区域自治制度,人民代表大会制度,C,人民代表大会制度是我国的根本政治制度，是人民当家作主的根本保证。
23,新发展理念是指创新、协调、绿色、开放、（ ）。,共赢,共享,共建,B,新发展理念是创新、协调、绿色、开放、共享。
24,习近平总书记强调，我们要坚持（ ）在我国现代化建设全局中的核心地位。,创新,人才,科技,A,坚持创新在我国现代化建设全局中的核心地位，把科技自立自强作为国家发展的战略支撑。
25,我们要构建以（ ）为主体、国内国际双循环相互促进的新发展格局。,国内大循环,国际大循环,对外贸易,A,新发展格局是构建以国内大循环为主体、国内国际双循环相互促进的格局。
26,（ ）是党的根本宗旨。,全心全意为人民服务,实现共产主义,建设中国特色社会主义,A,全心全意为人民服务是中国共产党的根本宗旨。
27,（ ）是党的根本组织原则。,集体领导制,民主集中制,首长负责制,B,民主集中制是党的根本组织原则，也是群众路线在党的生活中的运用。
28,（ ）是国家治理体系和治理能力的重要建筑，是实现社会公平正义的基石。,法治,经济,教育,A,法治是国家治理体系和治理能力的重要建筑，是实现公平正义的关键。
29,习近平总书记提出的构建（ ），为解决人类问题贡献了中国智慧和中国方案。,人类命运共同体,全球贸易体系,国际政治新秩序,A,构建人类命运共同体是习近平外交思想的核心。
30,“两个维护”是指维护习近平总书记党中央的核心、全党的核心地位，（ ）。,维护人民群众根本利益,维护党中央权威和集中统一领导,维护宪法法律权威,B,“两个维护”是指维护习近平总书记党中央的核心、全党的核心地位，维护党中央权威和集中统一领导。
