序号,题目,选项A,选项B,选项C,正确答案,解析
11,"习近平总书记在""七一勋章""颁授仪式上对青年党员提出什么要求？","向获得""七一勋章""的同志学习，传承红色基因",努力在各自岗位上创造一流业绩,坚定理想信念，在党和人民最需要的时候冲得出来、顶得上去,A,"习近平总书记在""七一勋章""颁授仪式上强调，要向获得""七一勋章""的同志学习，学习他们对党忠诚、为民服务、无私奉献的崇高品格，激励广大党员特别是青年党员传承红色基因，赓续红色血脉。"
12,习近平总书记关于青年工作重要思想中，对共青团的定位是什么？,党的外围组织,党的助手和后备军,青年的代言人,B,习近平总书记强调，共青团是党的助手和后备军，是党联系青年最广泛的群众组织，要坚持为党育人的初心使命，围绕大局、服务青年，把广大青年紧紧凝聚在党的周围。
13,"习近平总书记在北京大学师生座谈会上，对青年提出""爱国、励志、求真、力行""的要求，其中""力行""的含义是什么？",努力学习专业知识,注重知行合一，脚踏实地干事创业,积极参加体育锻炼,B,"在2018年北京大学师生座谈会上，习近平总书记提出""爱国、励志、求真、力行""四点要求。""力行""即知行合一、脚踏实地，青年要注重将学到的知识转化为实际行动，在实践中检验和深化认识，做到学以致用。"
14,习近平总书记强调，青年要勇做走在时代前列的什么？,奋斗者、开拓者、奉献者,先行者、实践者、引领者,改革者、创新者、建设者,A,习近平总书记勉励青年，要勇做走在时代前列的奋斗者、开拓者、奉献者，以青春之我、奋斗之我，为民族复兴铺路架桥，为祖国建设添砖加瓦。
15,"习近平总书记多次寄语青年""自找苦吃""，其深意是什么？",鼓励青年主动到艰苦环境中经受磨砺、锤炼本领,要求青年降低生活标准，艰苦朴素,提倡青年多承担家庭和社会负担,A,"习近平总书记""自找苦吃""的寄语，是鼓励青年要有主动到艰苦环境、基层一线去经受磨砺的精神，在艰苦条件下磨砺意志、增长才干，而不是坐享其成、贪图安逸，这是成就事业的必要历练。"
16,习近平总书记在致全国青联十三届全委会和全国学联二十七大的贺信中，对青年提出要做什么样的人？,有理想、有道德、有文化、有纪律的四有新人,有信念、有梦想、有奋斗、有奉献的人生是美好的,德智体美劳全面发展的社会主义建设者和接班人,B,习近平总书记在贺信中指出：有信念、有梦想、有奋斗、有奉献的人生，才是有意义的人生。广大青年要在奉献中找到人生价值，在奋斗中实现人生梦想。
17,习近平总书记强调，青年最重要的是要有什么？,过硬的专业技能,坚定的理想信念,广泛的人脉关系,B,"习近平总书记多次强调，理想信念是青年的精神之""钙""，没有理想信念，精神上就会""缺钙""，就会得""软骨病""。青年最重要的是要有坚定的理想信念，这是人生的""总开关""。"
18,"习近平总书记在中央团校（中国青年政治学院）考察时强调，共青团要做到哪""四性""？",政治性、先进性、群众性、时代性,独立性、创造性、整体性、协调性,科学性、民主性、开放性、包容性,A,"习近平总书记强调，共青团要增强政治性、先进性、群众性，增强时代性，即""四性""。政治性是灵魂，先进性是旗帜，群众性是根基，时代性是要求。共青团要在""四性""上下功夫，不断提升组织力和凝聚力。"
19,习近平总书记在与中国航天科技集团空间站建造青年团队代表座谈时，对航天青年有何寄语？,"发扬""两弹一星""精神，瞄准世界航天科技前沿","""征途漫漫，惟有奋斗""","""心有大我、至诚报国""",B,"习近平总书记在与航天青年团队代表座谈时寄语：""征途漫漫，惟有奋斗。我们通过奋斗，披荆斩棘，把不可能变成了可能。""这激励广大青年在各自岗位上坚持奋斗、追求卓越。"
20,习近平总书记关于青年工作的重要思想，其核心主题是什么？,为党育人、为国育才,青年与党同心、与国同行、与民同向,青年强国、青年有为,A,习近平总书记关于青年工作重要思想的核心主题是为党育人、为国育才，即党的青年工作要培养能够担当民族复兴大任的时代新人，实现党的事业后继有人、薪火相传。
21,"习近平总书记曾给""郭明义爱心团队""回信，鼓励青年志愿者做什么？",做中华民族传统美德的传承者、社会主义道德规范的实践者,积极参与公益事业，服务社会,发扬雷锋精神，让雷锋精神在新时代绽放更加璀璨的光芒,C,"习近平总书记在给""郭明义爱心团队""的回信中指出，希望爱心团队弘扬雷锋精神，积极参与志愿服务，以实际行动书写新时代的雷锋故事，让雷锋精神在新时代绽放更加璀璨的光芒。"
22,习近平总书记指出，实现中国梦是一场历史接力赛，当代青年要跑好属于自己的什么？,这一棒,冲刺阶段,关键赛程,A,习近平总书记指出，实现中国梦是一场历史接力赛，当代青年要跑好属于自己的这一棒。每一代人有每一代人的长征路，每一代人都要走好自己的长征路，在接续奋斗中推进民族复兴事业。
23,习近平总书记强调，青年要注重学习什么课？,专业技术课,人生这门课,理论知识课,B,习近平总书记强调，青年要注重学习人生这门课，把做人做事的基本道理、把社会主义核心价值观的要求、把实现民族复兴的理想和责任，融入到学习和工作中，在实践中不断成长。
24,"习近平总书记关于青年成长的重要论述中，""志存高远""对应着什么行动要求？",脚踏实地,勇于创新,开拓进取,A,"习近平总书记强调青年要""志存高远，脚踏实地""，既要有崇高的理想追求，又要踏踏实实干好每一件事，从小事做起、从本职做起，把远大理想落实到实际行动中，不好高骛远，不急于求成。"
25,"习近平总书记对青年提出，要在青年时代打牢什么样的""地基""？",知识地基,思想道德地基,能力地基,B,"习近平总书记强调，青年时期是人生的""拔节孕穗期""，最需要精心引导和栽培。青年要努力在青年时代打牢思想道德地基，守住道德底线，崇德向善，用真理的力量感召人，用人格的力量打动人。"
26,"习近平总书记在共青团成立100周年大会上的重要讲话中，对广大共青团员提出哪""四个带头""要求？",带头学习、带头工作、带头奉献、带头创新,带头学习贯彻习近平新时代中国特色社会主义思想、带头投身改革开放、带头服务人民群众、带头维护社会和谐稳定,带头在思想上政治上行动上同党中央保持高度一致,B,"2022年5月，习近平总书记在庆祝中国共产主义青年团成立100周年大会上对广大团员青年提出""四个带头""要求：带头学习贯彻习近平新时代中国特色社会主义思想、带头投身改革开放、带头服务人民群众、带头维护社会和谐稳定。"
27,习近平总书记鼓励青年科技工作者要敢于什么？,走出国门，学习先进技术,走前人没走过的路，探索科学真理,跨界融合，打破学科壁垒,B,"习近平总书记鼓励青年科技工作者要敢于走前人没走过的路，勇于攻克""卡脖子""技术难题，在独创独有上下功夫，为实现高水平科技自立自强、建设科技强国贡献青春力量。"
28,习近平总书记在党史学习教育动员大会上对青年的要求是什么？,要做到学史明理、学史增信、学史崇德、学史力行,要深入了解党的奋斗历程，坚定跟党走的决心,要传承革命精神，争做时代先锋,A,"习近平总书记在党史学习教育动员大会上强调学习党史要做到""四史力行""：学史明理——明马克思主义之理；学史增信——增中国特色社会主义道路自信；学史崇德——崇党的革命道德；学史力行——力行为民服务。"
29,习近平总书记指出，新时代中国青年运动的主题和方向是什么？,服务人民、奉献社会,为实现中华民族伟大复兴的中国梦而奋斗,投身改革开放、推动社会发展,B,习近平总书记指出，新时代中国青年运动的主题，新时代中国青年运动的方向，就是为实现中华民族伟大复兴的中国梦而奋斗。这是当代中国青年最崇高的使命担当。
30,"习近平总书记强调，青年要练好""内功""，最根本的是要做到什么？",掌握一门过硬的专业技能,坚持学习是成才的重要途径，学好专业知识,勤学、修德、明辨、笃实,C,"习近平总书记在北京大学师生座谈会上对青年提出""勤学、修德、明辨、笃实""的要求：勤学——下得苦功夫；修德——加强道德修养；明辨——善于明辨是非；笃实——扎扎实实干事。这是青年练好""内功""的根本要求。"
