序号,题目,选项A,选项B,选项C,正确答案,解析
48,中央代表团向新疆自治区成立70周年赠送的贺匾题词是（ ）。,A. 铸牢中华民族共同体意识 建设社会主义现代化新疆,B. 民族团结一家亲,C. 建设美丽新疆,A,解析：新疆70周年贺匾题词为“铸牢中华民族共同体意识 建设社会主义现代化新疆”。
49,宁夏永宁县闽宁镇的发展，是（ ）“山海情”不断写下新篇章的缩影。,A. 浙宁,B. 闽宁,C. 粤宁,B,解析：文中提到福建和宁夏的“闽宁”山海情。
50,贵州榕江县火爆赛场内外的“最炫民族风”体育活动被称为（ ）。,A. 村BA,B. 村超,C. 村排,B,解析：文中提到贵州榕江县“村超”现场的民族风。
51,新疆达里雅布依老村的村民从“笆子房”搬进新房，得益于（ ）政策。,A. 易地扶贫搬迁,B. 产业扶贫,C. 教育扶贫,A,解析：文中提到达里雅布依村易地扶贫搬迁的新旧复原场景。
52,云南丽江现代花卉产业园被总书记称赞符合（ ）发展方向。,A. 传统农业,B. 现代农业,C. 观光农业,B,解析：总书记高兴地说，符合现代农业发展方向。
53,西藏自治区嘎拉村因山野（ ）闻名，品牌越擦越亮。,A. 梨花,B. 桃花,C. 樱花,B,解析：文中提到嘎拉村被称为“桃花村”。
54,总书记指出，云南的王牌特产包括茶叶、中药材和（ ）等。,A. 小粒咖啡,B. 橡胶,C. 以上都是,C,解析：文中提到茶马古道茶叶、中药材、小粒咖啡、橡胶等都是王牌。
55,被誉为“新中国民族团结第一碑”的是（ ）。,A. 普洱民族团结誓词碑,B. 大理民族团结碑,C. 昭通民族团结碑,A,解析：文中明确指出普洱民族团结誓词碑被誉为“新中国民族团结第一碑”。
56,普洱民族团结誓词碑是在（ ）年立下的。,A. 1949,B. 1950,C. 1951,C,解析：文中提到1951年元旦，普洱专区举行盟誓大会立下誓词碑。
57,普洱民族团结誓词碑上的誓词表示各族群众誓为建设（ ）的大家庭而奋斗。,A. 富强民主文明,B. 平等自由幸福,C. 团结和谐美丽,B,解析：誓词碑文“誓为建设平等自由幸福的大家庭而奋斗”。
58,习近平总书记给普洱民族团结誓词碑盟誓代表后代回信中提到，让民族团结的佳话（ ）。,A. 名扬海外,B. 代代相传,C. 载入史册,B,解析：回信中殷切希望“让民族团结的佳话代代相传”。
59,（ ）是国家统一之基、民族团结之本、精神力量之魂。,A. 中华民族共同体意识,B. 社会主义核心价值观,C. 爱国主义精神,A,解析：新闻评论指出，中华民族共同体意识是国家统一之基、民族团结之本、精神力量之魂。
60,十五五规划建议将（ ）纳入推进社会主义民主法治建设的重要组成部分。,A. 铸牢中华民族共同体意识，推进中华民族共同体建设,B. 乡村振兴,C. 共同富裕,A,解析：文章提到十五五规划建议将“铸牢中华民族共同体意识，推进中华民族共同体建设”纳入其中。
61,2025-2026年度，西部计划全国项目计划招募选派（ ）万名志愿者。,A. 3,B. 4,C. 5,B,解析：方案中明确招募选派4万名西部计划全国项目志愿者。
62,西部计划志愿者服务期为（ ），服务协议一年一签。,A. 1至2年,B. 1至3年,C. 2至3年,B,解析：方案明确服务期为1至3年。
63,2025-2026年度西部计划共实施（ ）个专项。,A. 6,B. 7,C. 8,C,解析：方案明确实施乡村教育、服务乡村建设等8个专项。
64,2025年新增实施规模将继续重点向全国陆地边境县、边境团场和（ ）地区倾斜。,A. 北疆,B. 南疆,C. 藏区,B,解析：方案明确重点向南疆地区倾斜。
65,各省岗位设置中，乡镇及以下服务岗位数须在（ ）以上。,A. 80%,B. 85%,C. 90%,C,解析：方案规定乡镇及以下服务岗位数须在90%以上。
66,各省岗位设置中，乡村教育专项比例不得低于（ ）。,A. 15%,B. 20%,C. 25%,C,解析：方案规定乡村教育专项比例不得低于25%。
67,各省岗位设置中，基层青年工作专项比例不得高于（ ）。,A. 5%,B. 10%,C. 15%,B,解析：方案规定基层青年工作专项比例不得高于10%。
68,高校毕业生报名参加西部计划的截止时间通常为2025年（ ）。,A. 4月30日,B. 5月10日,C. 6月1日,B,解析：方案规定即日起至2025年5月10日为报名时间。
69,服务省项目办统一组织的培训时间不少于（ ）天。,A. 3,B. 4,C. 5,B,解析：方案规定培训时间不少于4天。
70,集中培训中，须包括不少于（ ）天的“青马工程”西部计划专项培训。,A. 1,B. 2,C. 3,B,解析：方案规定其中须包括不少于2天的“青马工程”西部计划专项培训。
71,志愿者服务2年以上且考核合格的，服务期满后3年内报考硕士研究生，初试总分加（ ）分。,A. 5,B. 10,C. 15,B,解析：按政策规定，初试总分加10分。
72,参加西部计划项目前无工作经历的，服务期满且考核合格后（ ）年内同等享受应届高校毕业生相关政策。,A. 1,B. 2,C. 3,B,解析：政策明确为2年内同等享受应届生政策。
73,中央财政对西部地区志愿者的补助标准为每人每年（ ）万元。,A. 2.4,B. 3,C. 4,B,解析：中央财政按照西部地区每人每年3万元给予补助。
74,中央财政对南疆四地州、西藏志愿者的补助标准为每人每年（ ）万元。,A. 3,B. 3.5,C. 4,C,解析：南疆四地州、西藏标准为每人每年4万元。
75,中央财政对中部地区志愿者的补助标准为每人每年（ ）万元。,A. 2,B. 2.4,C. 3,B,解析：中部地区标准为每人每年2.4万元。
76,西部计划年度考核优秀等次志愿者数量原则上不超过当期在岗人数的（ ）。,A. 15%,B. 20%,C. 25%,B,解析：方案规定优秀等次比例原则上不超过当期在岗人数的20%。（注：老办法是15%，25-26新方案上调至20%）
77,“卫国戍边”专项主要围绕（ ）和新疆生产建设兵团边境团场实际需要。,A. 陆地边境县,B. 海防前线,C. 内地贫困县,A,解析：附件专项简介中明确为陆地边境县和边境团场。
78,大学生志愿服务西部计划地方项目所需经费由（ ）承担。,A. 中央财政,B. 地方,C. 高校,B,解析：方案要求地方项目所需经费由地方承担。
79,全国项目实施规模扩大的省份，（ ）减少现有地方项目实施规模。,A. 可以,B. 不得,C. 视情况,B,解析：方案明确不得减少现有地方项目实施规模。
80,健康乡村专项志愿者主要在（ ）从事相关工作。,A. 县级三甲医院,B. 乡镇卫生院、村卫生室,C. 城市社区医院,B,解析：附件专项简介明确在乡镇卫生院、村卫生室等机构工作。
